dateTime;min;max;avaliable
2018-10-01;2018-10-01 05:01:00;2018-10-01 23:59:00;1018.0
2018-10-02;2018-10-02 00:00:00;2018-10-02 23:59:00;1319.0
2018-10-03;2018-10-03 00:00:00;2018-10-03 23:59:00;1319.0
2018-10-04;2018-10-04 00:00:00;2018-10-04 23:59:00;1319.0
2018-10-05;2018-10-05 00:00:00;2018-10-05 21:00:00;1140.0
2018-10-06;2018-10-06 16:26:00;2018-10-06 21:33:00;187.0
2018-10-07;2018-10-07 22:01:00;2018-10-07 23:59:00;0.0
2018-10-08;2018-10-08 00:00:00;2018-10-08 23:59:00;1319.0
2018-10-09;2018-10-09 00:00:00;2018-10-09 23:59:00;1319.0
2018-10-10;2018-10-10 00:00:00;2018-10-10 23:59:00;1319.0
2018-10-11;2018-10-11 00:00:00;2018-10-11 23:59:00;1319.0
2018-10-12;2018-10-12 00:00:00;2018-10-12 21:00:00;1140.0
2018-10-14;2018-10-14 08:01:00;2018-10-14 23:59:00;838.0
2018-10-15;2018-10-15 00:00:00;2018-10-15 23:59:00;1319.0
2018-10-16;2018-10-16 00:00:00;2018-10-16 23:59:00;1319.0
2018-10-17;2018-10-17 00:00:00;2018-10-17 23:59:00;1319.0
2018-10-18;2018-10-18 00:00:00;2018-10-18 23:59:00;1319.0
2018-10-19;2018-10-19 00:00:00;2018-10-19 21:00:00;1140.0
2018-10-21;2018-10-21 16:14:00;2018-10-21 23:59:00;345.0
2018-10-22;2018-10-22 00:00:00;2018-10-22 23:59:00;1319.0
2018-10-23;2018-10-23 00:00:00;2018-10-23 23:59:00;1319.0
2018-10-24;2018-10-24 00:00:00;2018-10-24 23:59:00;1319.0
2018-10-25;2018-10-25 00:00:00;2018-10-25 23:59:00;1319.0
2018-10-26;2018-10-26 00:00:00;2018-10-26 21:00:00;1140.0
2018-10-28;2018-10-28 03:45:00;2018-10-28 23:59:00;1094.0
2018-10-29;2018-10-29 00:00:00;2018-10-29 23:59:00;1319.0
2018-10-30;2018-10-30 00:00:00;2018-10-30 23:59:00;1319.0
2018-10-31;2018-10-31 00:00:00;2018-10-31 23:59:00;1319.0
2018-11-01;2018-11-01 00:00:00;2018-11-01 05:00:00;180.0
